MAZ,TAZ,Unnamed: 0,taz,luz_id,pop,hhp,hs,hs_sf,hs_mf,hs_mh,hh,hh_sf,hh_mf,hh_mh,hhs,gq_civ,gq_mil,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,emp_gov,emp_mil,emp_ag_min,emp_bus_svcs,emp_fin_res_mgm,emp_educ,emp_hlth,emp_ret,emp_trn_wrh,emp_con,emp_utl,emp_mnf,emp_whl,emp_ent,emp_accm,emp_food,emp_oth,emp_non_ws_wfh,emp_non_ws_oth,emp_total,pseudomsa,zip09,enrollgradekto8,enrollgrade9to12,collegeenroll,othercollegeenroll,hotelroomtotal,parkactive,openspaceparkpreserve,beachactive,district27,milestocoast,acres,land_acres,effective_acres,truckregiontype,ech_dist,hch_dist,adultschenrl,hstallsoth,hstallssam,numfreehrs,dstallsoth,dstallssam,mstallsoth,mstallssam,budgetroom,economyroom,luxuryroom,midpriceroom,upscaleroom,MicroAccessTime,remoteAVParking,refueling_stations,totint,duden,empden,popden,retempden,totintbin,empdenbin,dudenbin,PopEmpDenPerMi,microtransit,nev,mgra,exp_hourly,exp_daily,exp_monthly,parking_type,parking_spaces,poe_id,external_work,external_nonwork,external_TAZ,external_MAZ,walk_dist_local_bus,walk_dist_premium_transit,micro_dist_local_bus,micro_dist_premium_transit,ML_DIST,AVGTTS,PCTDETOUR,terminal_time
8267,2095,8266,2095,3,281,281,184,14,170,0,160,10,150,0,1.75625,0,0,10,13,13,13,11,21,25,5,23,26,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,22,10,41,2,92103,0,0,0,0,0,0.0,0.0,0.0,8,2.3,6.095125998,6.095125998,6.095125998,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,202,13.187,15.8719,26.9771,4.5803,3,2,3,27423.3661,0,0,8267,1.2046594562145412,9.519049633461591,86.4458451489621,2,0.0,0.0,0.0,0.0,0.0,0.0,0.257,0.303,0.257,0.303,7.1329,0.00397,0.0,0.0
8306,1598,8305,1598,2,107,107,60,60,0,0,54,54,0,0,1.981481481,0,0,1,3,4,5,4,5,4,3,11,14,0,0,0,2,0,1,1,0,0,0,0,20,0,1,0,0,0,6,12,43,2,92103,0,0,0,0,0,0.0,0.804291,0.0,27,0.99,11.42400144,11.42400144,11.42400144,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,14,5.1055,6.2401,11.6293,2.9237,1,1,2,11436.4012,0,0,8306,1.5890571716883932,8.46278196225332,69.54191344784829,2,0.0,0.0,0.0,0.0,0.0,0.0,999999.0,0.799,1.039,0.799,8.5562,0.00369,0.0,0.0
8346,1660,8345,1660,1,50,50,28,28,0,0,28,28,0,0,1.785714286,0,0,2,3,0,2,3,3,1,2,5,7,0,0,0,29,0,0,0,0,0,1,0,9,1,0,0,0,1,5,10,56,2,92103,0,0,0,0,0,0.0,6.598044,0.0,27,1.88,11.72744421,11.72744421,8.185364924,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,80,8.8128,9.3062,18.8665,3.8349,2,1,2,18030.5645,0,0,8346,1.4833500181470642,9.828839319391555,86.68377296291995,2,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.332,0.315,0.332,7.7503,0.00384,0.0,0.0
8375,2186,8374,2186,29,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,92101,0,0,0,0,0,0.0,92.521169,0.0,8,1.94,92.52079594,92.52079594,35.70910416,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,10,0.0,0.1105,0.0,0.0425,1,1,1,70.7106,0,0,8375,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.58,0.58,8.6036,0.00372,0.0,0.0
8386,1853,8385,1853,2,200,195,164,0,164,0,156,0,156,0,1.25,5,0,16,20,21,6,25,19,22,8,14,5,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,1,0,5,25,111,2,92101,0,0,0,0,60,0.0,0.0,0.0,27,0.69,2.437578511,2.437578511,2.437578511,1,432801,432801,0,20,55,0,10,44,10,44,0,0,0,0,0,999,0,0,162,16.9435,62.7162,34.1536,6.6474,3,3,3,61996.6663,0,0,8386,3.722470667058432,17.36721396226028,130.73206776559184,1,353.0,0.0,0.0,0.0,0.0,0.0,0.053,0.123,0.053,0.123,9.3761,0.00374,0.0,0.0
8388,1819,8387,1819,28,40,40,33,0,33,0,30,0,30,0,1.333333333,0,0,6,2,0,2,4,4,0,2,3,7,0,0,0,4,2,0,0,171,0,0,0,0,0,91,0,25,8,2,106,409,1,92101,0,0,0,0,0,0.0,0.0,0.0,15,0.43,9.648861507,9.648861507,9.648861507,1,432801,432801,0,1901,2090,3,0,188,1888,2077,0,0,0,0,0,999,0,0,165,18.8523,87.0519,37.6489,20.5291,3,3,3,79808.5218,0,0,8388,4.06547595224434,18.87219826386789,137.13689239039243,2,1155.0,0.0,0.0,0.0,0.0,0.0,0.053,0.248,0.053,0.248,10.1514,0.00371,0.0,0.0
8455,1602,8454,1602,30,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,41,0,16,151,2,92101,0,0,0,0,0,0.0,0.0,0.0,26,0.34,8.197514227,8.197514227,8.197514227,1,432801,432801,0,1,1,0,1633,1633,1,1,0,0,0,0,0,999,0,0,114,8.4431,22.0899,17.9058,4.2952,2,2,2,25597.2475,0,0,8455,3.588123576075532,13.08513982519545,97.82011560306262,2,1396.0,0.0,0.0,0.0,0.0,0.0,0.211,0.274,0.211,0.274,9.1842,0.00366,0.0,0.0
8469,2105,8468,2105,3,121,121,78,20,58,0,74,19,55,0,1.635135135,0,0,3,7,6,8,7,7,13,11,8,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,20,2,92103,0,0,0,0,0,0.0,0.0,0.0,8,1.95,4.419461146,4.419461146,4.419461146,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,152,10.4343,11.116,21.4506,3.3013,3,2,3,20842.6204,0,0,8469,1.130045921505772,8.326689630405744,76.54216894327419,2,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.376,0.078,0.376,7.693,0.00395,0.0,0.0
8470,2105,8469,2105,3,597,597,392,16,376,0,363,16,347,0,1.644628099,0,0,18,34,27,38,32,33,57,59,42,23,0,0,0,14,15,0,9,2,0,42,0,0,0,0,0,46,10,28,43,209,2,92103,0,0,0,0,0,0.0,0.0,0.0,8,2.16,7.727305593,7.727305593,7.727305593,1,432801,432801,0,290,576,0,284,563,284,563,0,0,0,0,0,999,0,0,205,16.4788,16.7228,33.801,5.371,3,2,3,32335.1959,0,0,8470,0.981825809834698,7.327871179839184,67.0884093200304,1,761.0,0.0,0.0,0.0,0.0,0.0,0.093,0.093,0.093,0.093,7.693,0.00395,0.0,0.0
8527,1798,8526,1798,28,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3885,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,109,4156,1,92101,0,0,0,0,0,0.0,0.0,0.0,15,0.61,8.748539461,8.748539461,8.748539461,1,432801,432801,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,0,179,23.1827,88.6391,46.388,15.992,3,3,3,86417.3399,0,0,8527,4.1236703093882365,18.78335403898398,137.06119309639467,1,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.051,9.8668,0.00377,0.0,0.0
